"","Group","Field","Sample","Batch","CD31","Total Area","CD31_percentage","grouping"
"1","Control","F0","Litter2_E5",1,806163,5907962,13.6453653561076,"Control_Litter2_E5"
"2","Control","F1","Litter2_E5",1,1445965,13458736,10.74369093799,"Control_Litter2_E5"
"3","Control","F2","Litter2_E5",1,3900604,38285224,10.1882752468681,"Control_Litter2_E5"
"4","Control","F3","Litter2_E5",1,1320027,24957710,5.28905496537944,"Control_Litter2_E5"
"5","KO@E7.5","F0","Litter2_E6",1,4440350,34307406,12.9428322269541,"KO@E7.5_Litter2_E6"
"6","KO@E7.5","F1","Litter2_E6",1,2580601,51242325,5.03607320706077,"KO@E7.5_Litter2_E6"
"7","KO@E7.5","F2","Litter2_E6",1,4987949,59300143,8.41136082926478,"KO@E7.5_Litter2_E6"
"8","KO@E7.5","F3","Litter2_E6",1,1925614,18950445,10.1613128346063,"KO@E7.5_Litter2_E6"
"9","Control","F1","Litter2_E4",2,1615888,30866149,5.23514611427554,"Control_Litter2_E4"
"10","Control","F2","Litter2_E4",2,1288353,16400603,7.85552214147248,"Control_Litter2_E4"
"11","Control","F0","Litter2_E4",2,1184323,38724187,3.05835471768587,"Control_Litter2_E4"
"12","KO@E7.5","F0","Litter2_E1",2,1669525,9621338,17.3523162786714,"KO@E7.5_Litter2_E1"
"13","KO@E7.5","F1","Litter2_E1",2,1861770,24260818,7.67397867623425,"KO@E7.5_Litter2_E1"
"14","KO@E7.5","F0","Litter2_E2",2,1541554,24455289,6.30356075530328,"KO@E7.5_Litter2_E2"
"15","KO@E7.5","F1","Litter2_E2",2,3076514,16995876,18.1015323952705,"KO@E7.5_Litter2_E2"
"16","KO@E7.5","F2","Litter2_E2",2,4746513,17317954,27.4080471630771,"KO@E7.5_Litter2_E2"
"17","KO@E7.5","F0","Litter3_E6",4,719817,19153109,3.75822536174153,"KO@E7.5_Litter3_E6"
"18","KO@E7.5","F1","Litter3_E6",4,656507,17383607,3.77658675785756,"KO@E7.5_Litter3_E6"
"19","KO@E7.5","F2","Litter3_E6",4,1027603,31615193,3.25034549053678,"KO@E7.5_Litter3_E6"
"20","Control","F0","Litter3_E4",4,3734283,42424438,8.80219792186758,"Control_Litter3_E4"
"21","Control","F1","Litter3_E4",4,1788262,28223417,6.33609318106309,"Control_Litter3_E4"
"22","KO@E7.5","F0","Litter3_E3",4,599703,15814345,3.79214567533464,"KO@E7.5_Litter3_E3"
"23","KO@E7.5","F1","Litter3_E3",4,226345,3343845,6.76900394605611,"KO@E7.5_Litter3_E3"
"24","KO@E7.5","F2","Litter3_E3",4,97812,1916959,5.1024565470623,"KO@E7.5_Litter3_E3"
"25","KO@E7.5","F0","Litter3_E1",4,2089654,35832006,5.83180857917918,"KO@E7.5_Litter3_E1"
"26","KO@E7.5","F1","Litter3_E1",4,2711890,9501900,28.5405024258306,"KO@E7.5_Litter3_E1"
"27","KO@E7.5","F2","Litter3_E1",4,1522754,13797165,11.0367166008379,"KO@E7.5_Litter3_E1"
"28","Control","F0","Litter1_E2",3,601909,13699565,4.39363585632099,"Control_Litter1_E2"
"29","Control","F1","Litter1_E2",3,3934395,33097524,11.8872789396572,"Control_Litter1_E2"
