"","Branches","Junctions","End_points_Voxels","Junction_Voxels","Slab_Voxels","Average_Branch_Length","Triple_Points","Quadruple_Points","Maximum_Branch_Length","replicate","Group","Batch","sample"
"1",16,7,10,10,109,9.914,6,1,19.116,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"2",5,2,4,4,36,10.602,2,0,15.356,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"3",1,0,2,0,1,2.635,0,0,2.635,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"4",196,94,99,339,3016,18.929,81,8,67.746,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"5",1,0,2,0,1,1.93,0,0,1.93,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"6",4726,2168,2120,21645,24416,9.498,1554,348,110.581,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"7",3,1,3,3,8,5.464,1,0,8.906,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"8",1,0,2,0,1,1.795,0,0,1.795,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"9",20,9,11,19,121,9.792,8,0,34.115,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"10",18,8,11,17,76,7.428,7,1,24.938,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"11",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"12",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"13",1,0,2,0,2,2.692,0,0,2.692,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"14",5,2,4,4,23,7.768,2,0,12.936,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"15",1,0,2,0,0,1.633,0,0,1.633,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"16",1,0,2,0,0,1.364,0,0,1.364,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"17",6,2,5,5,40,10.771,1,1,18.23,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"18",5,2,4,4,14,5.77,2,0,10.579,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"19",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"20",3,1,3,1,20,9.535,1,0,14.787,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"21",1,0,2,0,1,2.329,0,0,2.329,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"22",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"23",5,2,4,2,45,13.26,2,0,31.642,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"24",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"25",4,1,3,2,18,7.558,0,0,23.558,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"26",1,0,2,0,8,12.28,0,0,12.28,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"27",1,0,2,0,1,1.795,0,0,1.795,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"28",1,0,2,0,1,2.998,0,0,2.998,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"29",25,11,14,19,91,6.547,8,3,18.448,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"30",1,0,2,0,3,3.589,0,0,3.589,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"31",1,0,2,0,8,12.7,0,0,12.7,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"32",3,1,3,1,17,8.475,1,0,13.672,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"33",1,0,2,0,0,0.965,0,0,0.965,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"34",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"35",1,0,2,0,1,1.795,0,0,1.795,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"36",1,0,2,0,0,1.364,0,0,1.364,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"37",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"38",1,0,2,0,1,1.93,0,0,1.93,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"39",6,2,5,7,33,9.303,1,1,18.189,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"40",1,0,2,0,2,3.294,0,0,3.294,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"41",1,0,2,0,2,3.294,0,0,3.294,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"42",1,0,2,0,2,3.294,0,0,3.294,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"43",1,0,2,0,7,10.271,0,0,10.271,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"44",1,0,2,0,0,0.965,0,0,0.965,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"45",1,0,2,0,0,0.965,0,0,0.965,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"46",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"47",1,0,2,0,2,3.915,0,0,3.915,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"48",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"49",1,0,2,0,1,2.215,0,0,2.215,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"50",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"51",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"52",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"53",3,1,3,1,44,19.724,1,0,32.684,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"54",1,0,2,0,2,3.112,0,0,3.112,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"55",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"56",1,0,2,0,4,5.29,0,0,5.29,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"57",1,0,2,0,0,1.318,0,0,1.318,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"58",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"59",1,0,2,0,8,11.448,0,0,11.448,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"60",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"61",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"62",9,4,6,8,83,13.326,4,0,23.855,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"63",1,0,2,0,0,0.965,0,0,0.965,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"64",1,0,2,0,0,0.897,0,0,0.897,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"65",1,0,2,0,0,0.965,0,0,0.965,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"66",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"67",3,1,3,1,8,4.896,1,0,6.541,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"68",1,0,2,0,0,0.965,0,0,0.965,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"69",5,2,4,4,38,12.533,2,0,28.465,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"70",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"71",3,1,3,3,31,12.862,1,0,27.381,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"72",1,0,2,0,0,0.965,0,0,0.965,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"73",1,0,2,0,0,1.318,0,0,1.318,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"74",16,7,10,13,102,9.644,6,1,33.686,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"75",1,0,2,0,2,2.894,0,0,2.894,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"76",1,0,2,0,1,1.795,0,0,1.795,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"77",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"78",1,0,2,0,2,3.294,0,0,3.294,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"79",1,0,2,0,4,4.487,0,0,4.487,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"80",1,0,2,0,2,2.692,0,0,2.692,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"81",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"82",1,0,2,0,0,0.965,0,0,0.965,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"83",1,0,2,0,0,0.965,0,0,0.965,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"84",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"85",1,0,2,0,0,0.965,0,0,0.965,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"86",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"87",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"88",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"89",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"90",1,0,2,0,1,1.795,0,0,1.795,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"91",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"92",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"93",1,0,2,0,1,2.215,0,0,2.215,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"94",1,0,2,0,1,2.215,0,0,2.215,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"95",3,1,3,1,27,11.524,1,0,14.674,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"96",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"97",1,0,2,0,2,3.112,0,0,3.112,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"98",1,0,2,0,4,4.907,0,0,4.907,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"99",1,0,2,0,1,1.93,0,0,1.93,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"100",14,5,10,21,42,6.811,1,2,14.522,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"101",1,0,2,0,0,0.897,0,0,0.897,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"102",1,0,2,0,0,1.364,0,0,1.364,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"103",5,2,4,2,18,6.099,2,0,14.791,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"104",1,0,2,0,0,0.965,0,0,0.965,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"105",1,0,2,0,11,14.761,0,0,14.761,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"106",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"107",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"108",1,0,2,0,0,0.897,0,0,0.897,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"109",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"110",1,0,2,0,8,12.385,0,0,12.385,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"111",6,1,4,6,9,5.619,0,0,8.564,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"112",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"113",1,0,2,0,0,0.965,0,0,0.965,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"114",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"115",1,0,2,0,0,1.364,0,0,1.364,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"116",0,0,1,0,0,0,0,0,0,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
"117",1,0,2,0,0,0.965,0,0,0.965,"E6_KO_F0","KO@E7.5",1,"797.1_E6_KO"
